,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
165,166,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54
169,170,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46
173,174,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35
178,179,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58
183,184,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53
187,188,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53
190,191,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4
192,193,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47
194,195,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49
195,196,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54
202,203,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48
209,210,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59
210,211,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58
212,213,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54
216,217,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
230,231,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6
233,234,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18
237,238,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62
256,257,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
257,258,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51
258,259,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76
259,260,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46
261,262,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87
264,265,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54
271,272,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57
272,273,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61
281,282,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
283,284,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58
288,289,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57
289,290,0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52
292,293,0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17
293,294,0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55
294,295,0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58
296,297,0.7,Fair,G,VVS1,58.8,66.0,2797,5.81,5.9,3.44
297,298,0.8,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67
299,300,0.8,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72
300,301,0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62
302,303,0.82,Ideal,F,SI2,62.4,54.0,2799,5.97,6.02,3.74
308,309,0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76
319,320,0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53
321,322,0.71,Good,F,VS2,63.8,58.0,2801,5.64,5.61,3.59
326,327,0.53,Ideal,F,IF,61.9,54.0,2802,5.22,5.25,3.24
329,330,0.7,Very Good,F,VS2,62.9,58.0,2803,5.63,5.65,3.55
334,335,0.71,Premium,F,VS2,62.6,58.0,2803,5.7,5.67,3.56
339,340,0.78,Premium,G,VS2,60.8,58.0,2803,6.03,5.95,3.64
343,344,0.71,Very Good,E,VS2,64.0,57.0,2804,5.66,5.68,3.63
345,346,0.7,Very Good,D,SI1,62.3,58.0,2804,5.69,5.73,3.56
346,347,0.72,Ideal,F,VS1,61.7,57.0,2804,5.74,5.77,3.55
347,348,0.72,Very Good,F,VS1,62.2,58.0,2804,5.75,5.7,3.56
351,352,0.72,Ideal,D,SI1,61.5,54.0,2804,5.77,5.8,3.56
352,353,0.9,Fair,I,SI1,67.3,59.0,2804,5.93,5.84,3.96
356,357,0.57,Fair,E,VVS1,58.7,66.0,2805,5.34,5.43,3.16
367,368,0.8,Very Good,H,VS2,62.8,57.0,2808,5.87,5.91,3.7
370,371,0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65
371,372,0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
373,374,0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
375,376,0.71,Premium,F,SI1,60.7,54.0,2809,5.84,5.8,3.53
377,378,0.7,Very Good,F,VS1,61.8,56.0,2810,5.63,5.7,3.5
383,384,0.83,Very Good,D,SI1,63.5,54.0,2811,5.98,5.95,3.79
384,385,1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01
389,390,0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49
392,393,0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72
393,394,0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67
403,404,0.32,Good,I,SI1,63.9,55.0,554,4.36,4.34,2.78
404,405,0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95
407,408,0.31,Very Good,F,SI1,61.8,58.0,555,4.32,4.35,2.68
412,413,0.3,Ideal,G,VS1,62.3,56.0,555,4.29,4.31,2.68
417,418,0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82
422,423,0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56
430,431,0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62
433,434,0.76,Very Good,F,SI2,58.5,62.0,2815,5.93,6.01,3.49
436,437,0.7,Ideal,H,SI1,61.4,56.0,2815,5.7,5.76,3.52
441,442,0.89,Premium,H,SI2,60.2,59.0,2815,6.26,6.23,3.76
452,453,0.71,Ideal,I,VVS2,60.2,56.0,2817,5.84,5.89,3.53
453,454,0.71,Ideal,E,VS2,62.7,57.0,2817,5.66,5.64,3.54
455,456,0.63,Ideal,F,VVS2,61.5,56.0,2817,5.48,5.52,3.38
464,465,0.7,Premium,E,VS2,63.0,60.0,2818,5.64,5.6,3.54
475,476,0.7,Good,F,VS1,59.7,63.0,2819,5.76,5.79,3.45
476,477,0.86,Good,F,SI2,64.3,60.0,2819,5.97,5.95,3.83
492,493,0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34
504,505,0.7,Good,E,SI1,61.4,64.0,2822,5.71,5.66,3.49
507,508,0.7,Premium,E,VS2,60.7,62.0,2822,5.72,5.68,3.46
510,511,0.79,Very Good,D,SI2,62.8,59.0,2823,5.86,5.9,3.69
515,516,0.71,Ideal,E,SI1,60.5,56.0,2823,5.77,5.73,3.47
526,527,0.91,Fair,H,SI2,61.3,67.0,2825,6.24,6.19,3.81
527,528,0.73,Premium,E,VS1,62.6,60.0,2826,5.75,5.68,3.58
533,534,0.9,Very Good,I,SI2,63.5,56.0,2826,6.17,6.07,3.88
536,537,0.7,Very Good,D,SI1,62.3,59.0,2827,5.67,5.7,3.54
542,543,1.01,Premium,H,SI2,61.6,61.0,2828,6.39,6.31,3.91
546,547,0.72,Ideal,F,VS1,61.7,57.0,2829,5.77,5.74,3.55
548,549,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
552,553,0.53,Ideal,F,VVS1,60.9,57.0,2830,5.23,5.29,3.19
553,554,0.53,Ideal,F,VVS1,61.8,57.0,2830,5.16,5.19,3.2
554,555,0.8,Ideal,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
556,557,0.76,Very Good,E,SI2,60.8,60.0,2831,5.89,5.98,3.61
564,565,0.81,Premium,G,SI1,63.0,60.0,2832,5.87,5.81,3.68
568,569,0.8,Very Good,I,VS2,62.0,58.0,2833,5.86,5.95,3.66
569,570,0.56,Very Good,E,IF,61.0,59.0,2833,5.28,5.34,3.24
570,571,0.7,Very Good,D,VS2,59.6,61.0,2833,5.77,5.8,3.45
574,575,0.7,Ideal,F,SI1,60.7,57.0,2833,5.73,5.75,3.49
587,588,0.72,Ideal,E,SI1,61.0,57.0,2835,5.78,5.8,3.53
592,593,0.7,Ideal,E,VS1,61.8,56.0,2837,5.74,5.69,3.53
595,596,0.82,Fair,F,SI1,64.9,58.0,2838,5.83,5.79,3.77
597,598,0.7,Premium,F,VS2,62.3,58.0,2838,5.72,5.64,3.54
598,599,0.7,Premium,F,VS2,61.7,58.0,2838,5.69,5.63,3.49
601,602,0.7,Very Good,E,SI1,63.5,59.0,2838,5.53,5.49,3.5
604,605,0.7,Premium,G,VS1,63.0,60.0,2838,5.64,5.57,3.53
606,607,0.71,Ideal,F,VS1,61.5,57.0,2839,5.74,5.71,3.52
612,613,0.7,Ideal,F,VS1,62.4,53.0,2839,5.73,5.71,3.57
617,618,0.71,Premium,F,VS1,59.2,58.0,2839,5.87,5.82,3.46
621,622,0.75,Very Good,F,SI2,59.8,56.0,2840,5.85,5.92,3.52
623,624,0.71,Premium,F,VS2,59.3,56.0,2840,5.88,5.82,3.47
627,628,0.73,Premium,F,VS2,60.3,59.0,2841,5.9,5.87,3.55
634,635,1.0,Premium,F,I1,58.9,60.0,2841,6.6,6.55,3.87
643,644,0.71,Very Good,E,VS2,59.4,58.0,2843,5.76,5.82,3.44
646,647,0.73,Ideal,G,VVS2,61.3,57.0,2843,5.81,5.84,3.57
649,650,0.81,Ideal,F,SI2,62.1,57.0,2843,5.91,5.95,3.68
656,657,0.7,Very Good,E,VS2,61.8,59.0,2845,5.65,5.68,3.5
674,675,0.7,Very Good,G,VVS2,62.9,59.0,2848,5.61,5.68,3.55
676,677,0.75,Fair,D,SI2,64.6,57.0,2848,5.74,5.72,3.7
680,681,0.7,Ideal,F,VS2,60.8,59.0,2850,5.69,5.79,3.49
681,682,0.75,Ideal,J,SI1,61.5,56.0,2850,5.83,5.87,3.6
682,683,1.2,Very Good,H,I1,63.1,60.0,2850,6.75,6.67,4.23
686,687,0.86,Premium,H,SI1,62.7,59.0,2851,6.04,5.98,3.77
687,688,0.74,Ideal,F,SI1,61.0,57.0,2851,5.85,5.81,3.56
689,690,0.78,Ideal,I,VS1,61.5,57.0,2852,5.88,5.92,3.63
690,691,0.74,Ideal,G,SI1,61.3,55.0,2852,5.85,5.86,3.59
700,701,0.7,Very Good,E,VS1,62.4,56.0,2854,5.64,5.7,3.54
703,704,0.91,Fair,J,VS2,64.4,62.0,2854,6.06,6.03,3.89
704,705,0.91,Fair,J,VS2,65.4,60.0,2854,6.04,6.0,3.94
708,709,0.68,Premium,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
709,710,0.73,Very Good,F,VS2,62.5,57.0,2855,5.7,5.75,3.58
712,713,0.98,Fair,E,SI2,53.3,67.0,2855,6.82,6.74,3.61
716,717,0.6,Ideal,F,VVS2,60.8,57.0,2856,5.44,5.49,3.32
722,723,0.36,Ideal,H,SI1,61.9,55.0,556,4.57,4.59,2.83
731,732,0.31,Ideal,I,VVS1,61.3,56.0,557,4.36,4.38,2.68
733,734,0.31,Ideal,I,VVS1,62.0,54.0,557,4.37,4.4,2.72
747,748,0.33,Ideal,I,SI1,63.0,57.0,557,4.39,4.37,2.76
748,749,0.33,Good,I,SI1,63.6,53.0,557,4.43,4.4,2.81
751,752,0.77,Premium,F,SI1,60.8,59.0,2856,5.92,5.86,3.58
753,754,0.7,Good,E,VVS2,60.1,63.0,2857,5.68,5.71,3.42
759,760,0.81,Very Good,F,SI1,61.3,57.0,2858,6.02,6.05,3.7
764,765,0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58
765,766,0.92,Premium,J,SI1,62.9,58.0,2858,6.22,6.18,3.9
767,768,0.73,Ideal,D,SI1,61.5,56.0,2858,5.84,5.8,3.58
781,782,0.6,Ideal,E,VVS2,61.9,54.9,2860,5.41,5.44,3.35
783,784,0.53,Ideal,F,VVS1,61.4,57.0,2860,5.23,5.2,3.2
787,788,0.9,Premium,I,SI1,63.0,58.0,2861,6.09,6.01,3.81
788,789,0.62,Fair,F,IF,60.1,61.0,2861,5.53,5.56,3.33
792,793,0.8,Very Good,F,SI1,62.6,58.0,2862,5.9,5.92,3.7
800,801,1.22,Premium,E,I1,60.9,57.0,2862,6.93,6.88,4.21
802,803,0.73,Premium,E,VS2,62.5,61.0,2862,5.78,5.64,3.59
803,804,0.91,Good,I,VS2,64.3,58.0,2863,6.05,6.09,3.9
804,805,0.71,Ideal,D,SI1,60.8,56.0,2863,5.8,5.77,3.52
805,806,0.83,Premium,G,SI1,62.3,58.0,2863,6.01,5.97,3.73
807,808,0.71,Premium,D,SI1,61.0,61.0,2863,5.82,5.75,3.53
813,814,0.91,Premium,J,SI1,59.5,62.0,2863,6.4,6.18,3.74
830,831,0.71,Ideal,H,VVS1,60.4,57.0,2867,5.78,5.81,3.5
834,835,0.52,Ideal,F,VVS1,61.2,56.0,2867,5.21,5.19,3.18
838,839,0.8,Ideal,G,SI1,61.3,57.0,2867,5.96,5.91,3.64
840,841,0.72,Ideal,I,VS1,62.4,55.0,2868,5.72,5.75,3.58
841,842,0.62,Ideal,G,IF,60.5,57.0,2868,5.52,5.56,3.35
846,847,0.62,Ideal,G,IF,61.8,56.0,2869,5.43,5.47,3.37
858,859,0.73,Very Good,E,SI1,61.3,58.0,2871,5.76,5.83,3.55
860,861,0.9,Premium,J,SI1,62.8,59.0,2871,6.13,6.03,3.82
861,862,0.75,Ideal,I,SI1,61.8,55.0,2871,5.83,5.85,3.61
865,866,1.02,Ideal,I,I1,61.7,56.0,2872,6.44,6.49,3.99
870,871,0.7,Ideal,D,SI1,60.7,56.0,2872,5.72,5.75,3.48
876,877,0.77,Very Good,E,SI1,63.2,58.0,2873,5.8,5.84,3.68
879,880,1.0,Fair,H,SI1,65.5,62.0,2873,6.14,6.07,4.0
880,881,0.9,Fair,I,SI1,65.7,58.0,2873,6.03,6.0,3.95
889,890,0.7,Premium,F,VS1,60.8,62.0,2874,5.71,5.67,3.46
890,891,0.7,Premium,G,VVS2,61.8,58.0,2874,5.67,5.63,3.49
891,892,0.7,Ideal,F,VS1,61.0,55.0,2874,5.77,5.73,3.51
892,893,0.7,Ideal,F,VS1,61.6,55.0,2874,5.75,5.71,3.53
894,895,0.7,Premium,G,VVS2,62.9,59.0,2874,5.68,5.61,3.55
901,902,0.79,Premium,E,VS2,60.6,53.0,2876,6.04,5.98,3.64
908,909,0.79,Very Good,F,SI1,62.7,60.0,2878,5.82,5.89,3.67
913,914,0.63,Premium,E,IF,60.3,62.0,2879,5.55,5.53,3.34
919,920,0.72,Fair,F,VS1,56.9,69.0,2879,5.93,5.77,3.33
934,935,1.03,Fair,I,SI2,65.3,55.0,2884,6.32,6.27,4.11
941,942,0.72,Ideal,E,SI1,62.7,55.0,2886,5.64,5.69,3.55
947,948,0.7,Very Good,F,VS1,62.2,58.0,2889,5.64,5.75,3.54
949,950,0.71,Very Good,F,VS1,62.8,56.0,2889,5.69,5.72,3.58
952,953,0.74,Ideal,F,SI1,61.2,56.0,2889,5.83,5.87,3.58
953,954,0.77,Premium,F,VS2,61.8,56.0,2889,5.94,5.9,3.66
954,955,0.77,Premium,E,SI1,59.8,61.0,2889,5.99,5.95,3.57
955,956,0.8,Ideal,F,SI1,61.5,54.0,2890,6.07,6.0,3.71
956,957,0.8,Ideal,F,SI1,62.4,57.0,2890,5.9,5.87,3.67
966,967,0.86,Ideal,H,SI2,61.8,55.0,2892,6.12,6.14,3.79
973,974,0.8,Ideal,G,SI2,62.5,55.0,2893,5.89,5.92,3.69
974,975,0.82,Good,G,SI2,59.9,62.0,2893,6.02,6.04,3.61
982,983,0.7,Ideal,G,VVS2,62.1,53.0,2895,5.71,5.75,3.56
984,985,0.77,Very Good,G,VS2,61.3,60.0,2896,5.81,5.91,3.59
989,990,0.77,Ideal,D,SI2,62.1,56.0,2896,5.83,5.89,3.64
991,992,1.01,Very Good,I,I1,63.1,57.0,2896,6.39,6.35,4.02
996,997,0.72,Ideal,E,SI1,62.5,55.0,2897,5.69,5.74,3.57
1003,1004,0.79,Ideal,G,SI1,61.1,57.0,2898,5.98,5.93,3.64
1004,1005,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
1005,1006,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
1022,1023,0.75,Ideal,D,SI1,62.3,57.0,2903,5.83,5.8,3.62
1025,1026,0.72,Premium,E,VS2,61.1,59.0,2903,5.8,5.75,3.53
1027,1028,0.79,Very Good,D,SI2,62.8,57.0,2904,5.85,5.9,3.69
1028,1029,0.7,Very Good,E,VS1,58.4,59.0,2904,5.83,5.91,3.43
1034,1035,0.86,Very Good,I,VS1,61.2,58.0,2905,6.1,6.16,3.75
1039,1040,0.74,Very Good,D,VS2,62.4,57.0,2906,5.74,5.8,3.6
1043,1044,0.61,Ideal,E,VVS2,62.4,53.6,2907,5.42,5.45,3.39
1048,1049,0.79,Ideal,G,SI1,60.3,60.0,2907,5.98,6.02,3.62
1054,1055,0.25,Good,F,VS1,63.6,57.0,558,4.04,4.01,2.56
1056,1057,0.25,Premium,E,VS1,61.5,60.0,558,4.04,4.02,2.48
1062,1063,0.31,Premium,H,SI1,62.7,58.0,558,4.34,4.31,2.71
1066,1067,0.31,Premium,I,VS2,60.8,60.0,558,4.42,4.37,2.67
1067,1068,0.31,Ideal,I,VS2,59.9,57.0,558,4.4,4.38,2.63
1068,1069,0.31,Premium,I,VS2,59.9,60.0,558,4.44,4.41,2.65
1072,1073,0.31,Premium,I,VS2,62.3,60.0,558,4.32,4.31,2.69
1077,1078,0.31,Premium,H,SI1,62.8,58.0,558,4.32,4.28,2.7
1078,1079,0.31,Ideal,H,SI1,62.9,56.0,558,4.31,4.27,2.7
1080,1081,0.82,Very Good,H,SI1,63.6,56.0,2908,5.9,5.95,3.77
1095,1096,0.8,Premium,E,SI1,61.2,60.0,2912,5.97,5.95,3.65
1099,1100,0.7,Very Good,D,VS2,60.7,60.0,2913,5.72,5.74,3.48
1103,1104,0.71,Very Good,D,SI1,61.7,56.0,2913,5.68,5.8,3.54
1107,1108,0.83,Premium,E,SI1,62.2,59.0,2913,6.05,5.97,3.74
1113,1114,0.8,Very Good,G,SI2,62.0,55.0,2915,5.94,6.01,3.7
1118,1119,0.7,Ideal,E,VS2,62.5,58.0,2917,5.63,5.67,3.53
1121,1122,0.8,Very Good,H,VS2,61.2,53.0,2918,5.98,6.05,3.68
1122,1123,0.71,Ideal,H,VVS1,62.1,54.0,2918,5.7,5.76,3.56
1123,1124,0.72,Ideal,I,VS2,61.8,55.0,2918,5.75,5.79,3.56
1129,1130,0.73,Ideal,H,VS1,61.9,55.0,2919,5.79,5.76,3.58
1132,1133,0.72,Ideal,F,SI1,61.0,55.0,2920,5.78,5.85,3.55
1134,1135,0.71,Ideal,F,VS1,62.6,55.0,2920,5.71,5.67,3.56
1142,1143,0.71,Very Good,E,VS2,63.3,59.0,2922,5.62,5.66,3.57
1147,1148,0.72,Very Good,E,VS2,63.2,58.0,2923,5.67,5.72,3.6
1148,1149,0.7,Very Good,E,SI1,61.8,59.0,2923,5.63,5.69,3.5
1154,1155,0.78,Ideal,F,SI1,61.1,56.0,2923,5.94,5.98,3.64
1163,1164,1.2,Premium,I,I1,60.5,58.0,2925,6.9,6.79,4.14
1165,1166,0.81,Premium,F,SI1,61.2,56.0,2926,6.03,6.0,3.68
1175,1176,0.7,Ideal,E,SI1,60.1,57.0,2929,5.78,5.83,3.49
1177,1178,0.7,Premium,E,VS1,60.3,58.0,2930,5.7,5.74,3.45
1180,1181,0.71,Ideal,G,VS1,62.7,57.0,2930,5.69,5.73,3.58
1181,1182,0.71,Ideal,G,VS1,62.6,57.0,2930,5.67,5.7,3.56
1185,1186,0.7,Very Good,G,VVS2,60.8,57.0,2931,5.72,5.76,3.49
1193,1194,0.73,Premium,F,VS2,59.9,58.0,2933,5.84,5.87,3.51
1194,1195,0.75,Ideal,F,VS2,62.3,57.0,2933,5.81,5.87,3.64
1195,1196,0.75,Good,D,SI2,57.6,56.0,2933,5.98,6.07,3.47
1197,1198,0.71,Ideal,D,SI2,62.0,54.0,2934,5.77,5.74,3.57
1199,1200,1.17,Fair,I,I1,65.4,62.0,2935,6.68,6.57,4.33
1201,1202,0.7,Very Good,G,VVS2,61.8,60.0,2936,5.63,5.69,3.5
1205,1206,0.82,Ideal,E,SI2,62.1,56.0,2937,6.01,5.98,3.72
1218,1219,0.72,Ideal,E,SI2,62.4,57.0,2939,5.71,5.74,3.57
1225,1226,0.7,Very Good,F,VVS2,62.6,59.0,2940,5.6,5.64,3.52
1228,1229,1.0,Good,H,I1,57.6,61.0,2940,6.67,6.6,3.82
1232,1233,0.8,Good,F,SI1,63.8,59.0,2941,5.83,5.87,3.73
1236,1237,0.7,Ideal,F,VS2,60.8,56.0,2942,5.78,5.79,3.52
1239,1240,0.73,Ideal,D,SI1,61.4,56.0,2943,5.82,5.78,3.56
1249,1250,0.72,Ideal,H,VVS1,62.2,56.0,2946,5.72,5.75,3.57
1251,1252,0.77,Ideal,I,SI1,61.5,56.0,2946,5.9,5.93,3.64
1253,1254,0.78,Very Good,H,VS1,61.7,56.0,2947,5.92,5.94,3.66
1259,1260,0.74,Ideal,I,VS1,62.0,56.0,2947,5.79,5.82,3.6
1261,1262,0.73,Ideal,D,SI1,61.2,57.0,2947,5.79,5.81,3.55
1262,1263,0.82,Good,H,VS2,62.4,54.0,2947,5.97,6.04,3.75
1265,1266,0.7,Ideal,E,SI1,62.0,56.0,2948,5.68,5.7,3.53
1269,1270,0.9,Ideal,I,SI2,62.0,56.0,2948,6.2,6.16,3.83
1277,1278,0.71,Ideal,G,VS1,62.4,57.0,2950,5.68,5.73,3.56
1278,1279,0.71,Premium,D,VS2,62.1,60.0,2950,5.72,5.68,3.54
1279,1280,0.54,Ideal,F,VVS1,61.6,55.0,2951,5.27,5.28,3.25
1281,1282,0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
1291,1292,0.7,Ideal,E,VS2,62.6,57.0,2952,5.63,5.68,3.54
1295,1296,0.8,Very Good,H,VS2,59.1,59.0,2953,6.02,6.07,3.57
1297,1298,0.75,Good,F,VS1,64.4,59.0,2953,5.67,5.72,3.66
1300,1301,0.72,Premium,E,VS2,61.1,59.0,2954,5.75,5.8,3.53
1309,1310,0.95,Good,I,SI2,63.8,57.0,2956,6.13,6.23,3.94
1318,1319,0.72,Good,G,VS1,58.0,57.8,2958,5.85,5.87,3.4
1320,1321,0.56,Very Good,D,VVS1,60.1,58.0,2959,5.36,5.42,3.24
1327,1328,0.7,Good,D,VS2,63.4,57.0,2960,5.6,5.67,3.57
1329,1330,0.76,Ideal,F,VS2,62.6,56.0,2960,5.82,5.78,3.63
1331,1332,0.64,Ideal,G,IF,61.7,58.0,2960,5.52,5.56,3.42
1335,1336,0.74,Ideal,H,VVS2,61.2,57.0,2961,5.79,5.85,3.56
1336,1337,0.72,Premium,E,VS1,61.5,60.0,2961,5.79,5.75,3.55
1341,1342,0.76,Ideal,E,SI1,60.6,57.0,2961,5.91,5.93,3.59
1353,1354,0.71,Very Good,D,SI1,59.4,59.0,2964,5.78,5.81,3.44
1360,1361,0.9,Premium,J,VS1,62.1,62.0,2964,6.12,6.05,3.78
1361,1362,1.0,Fair,G,SI1,65.7,54.0,2964,6.24,6.16,4.07
1363,1364,1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99
1371,1372,0.73,Very Good,G,VS2,62.1,59.0,2966,5.68,5.73,3.54
1383,1384,0.3,Very Good,H,VVS2,62.0,56.0,559,4.28,4.3,2.66
1396,1397,0.24,Ideal,G,IF,61.8,55.0,559,3.99,4.02,2.47
1399,1400,0.32,Ideal,G,VS1,62.3,55.0,559,4.39,4.41,2.74
1405,1406,0.32,Ideal,G,VS2,61.6,54.0,560,4.4,4.43,2.72
1408,1409,0.32,Premium,H,VS1,60.2,58.0,561,4.43,4.47,2.68
1410,1411,0.75,Very Good,E,SI1,60.2,60.0,2968,5.89,5.93,3.56
1417,1418,0.52,Premium,E,VVS2,60.1,58.0,2970,5.23,5.18,3.13
1420,1421,0.78,Premium,E,VS2,62.6,57.0,2970,5.91,5.85,3.68
1422,1423,1.04,Good,I,SI2,59.9,64.0,2970,6.51,6.45,3.88
1434,1435,0.7,Good,E,VS1,59.8,62.0,2973,5.74,5.8,3.45
1435,1436,0.82,Ideal,F,SI1,62.6,57.0,2974,5.96,6.02,3.75
